Technology,Keywords
hevc h265,['hevc h265']
hforce,['hforce']
high temperature resin,['high temperature resin']
high temperature structure,['high temperature structure']
liquid intrusion,['liquid intrusion']
low-cost autonomous,['low-cost autonomous']
mechanical/thermal properties,['mechanical/thermal properties']
medical application,['medical application']
medical application.,['medical application.']
medical sensor integration,['medical sensor integration']
optical systems aberration compensation,['optical systems aberration compensation']
permittivity profile,['permittivity profile']
printed sensors,['printed sensors']
propeller,['propeller']
pultruded,['pultruded']
pvi,['pvi']
ridge analysis,['ridge analysis']
special operations forces,['special operations forces']
spurious signals,['spurious signals']
state prediction,['state prediction']
structronics,['structronics']
structural tps,['structural tps']
sweat collection,['sweat collection']
tensor,['tensor']
thermoplastic matrix fiber-reinforced composites,['thermoplastic matrix fiber-reinforced composites']
tiny sensors and associated electronics,['tiny sensors and associated electronics']
traveling wave fin propulsion,['traveling wave fin propulsion']
wbmod,['wbmod']
wireless powering,['wireless powering']
wireless communication over large distances,['wireless communication over large distances']
consistent estimation,['consistent estimation']
decentralized estimation,['decentralized estimation']
electronic intelligence,['electronic intelligence']
localization of emitters,['localization of emitters']
pnt in gps-challenged environments,['pnt in gps-challenged environments']
protection against spoofing,['protection against spoofing']
saasm/ins integration,['saasm/ins integration']
software-defined receiver,['software-defined receiver']
software receivers,['software receivers']
spoofing mitigation,['spoofing mitigation']
transform-domain ins mechanization,['transform-domain ins mechanization']
vision-aided inertial,['vision-aided inertial']
balanced photodiode,['balanced photodiode']
high power photodiode,['high power photodiode']
millimeter waves,['millimeter waves']
mmw source,['mmw source']
passive millimeter-wave,['passive millimeter-wave']
rf photonic link,['rf photonic link']
technology readiness level,['technology readiness level']
ultra-wideband communications,['ultra-wideband communications']
virtual cable,['virtual cable']
wireless datalink,['wireless datalink']
airborne array,['airborne array']
body-wearable antenna,['body-wearable antenna']
cdl and tcdl,['cdl and tcdl']
counter-unmanned aerial systems (counter-uas),['counter-unmanned aerial systems (counter-uas)']
direction finding antenna,['direction finding antenna']
gps anti-jam (a/j) antenna,['gps anti-jam (a/j) antenna']
multi-band co-located embedded antenna,['multi-band co-located embedded antenna']
polarization agility,['polarization agility']
rf interference mitigation (rim) and anti-jam (rima),['rf interference mitigation (rim) and anti-jam (rima)']
uhf and vhf,['uhf and vhf']
wireless energy transmission,['wireless energy transmission']
aircraft platforms,['aircraft platforms']
atmospheric turbulence sensing,['atmospheric turbulence sensing']
fiber-array laser.,['fiber-array laser.']
high energy laser weapon,['high energy laser weapon']
low defect microstructure,['low defect microstructure']
the innovative fiber-array illuminator multi-sensor all weather precision tracker (fast) system will provide capabilities for tracking targets and identifying obstacles in severe weather conditions where visibility is low and passive imaging alone will no,['the innovative fiber-array illuminator multi-sensor all weather precision tracker (fast) system will provide capabilities for tracking targets and identifying obstacles in severe weather conditions where visibility is low and passive imaging alone will no']
60 ghz lan,['60 ghz lan']
wireless helmet mounted display,['wireless helmet mounted display']
cloud computing,['cloud computing']
compound semiconductor,['compound semiconductor']
digital to analog convertor (dac),['digital to analog convertor (dac)']
extremely high frequency (ehf) imaging,['extremely high frequency (ehf) imaging']
fountain coding,['fountain coding']
frequency-invariant,['frequency-invariant']
human biofuel,['human biofuel']
millimeter wave (mmw) radar,['millimeter wave (mmw) radar']
ofdm,['ofdm']
power-added efficiency,['power-added efficiency']
satcom transmitter,['satcom transmitter']
time-interleaving adc,['time-interleaving adc']
tunable n-path filter,['tunable n-path filter']
cryo-cooler,['cryo-cooler']
hit-to-kill interceptor,['hit-to-kill interceptor']
low probability of intercept / lo,['low probability of intercept / lo']
low swap encryption,['low swap encryption']
root of trust,['root of trust']
solid state data recorder,['solid state data recorder']
spectrum efficient waveforms,['spectrum efficient waveforms']
type 1 certification,['type 1 certification']
wireless instrumentation system (wis),['wireless instrumentation system (wis)']
decision engine,['decision engine']
decision-making software,['decision-making software']
reconfigurable technology,['reconfigurable technology']
ethernet adapter,['ethernet adapter']
wireless intercom communication system (ics),['wireless intercom communication system (ics)']
wireless mesh,['wireless mesh']
commercial off the shelf systems,['commercial off the shelf systems']
cybersecurity framework,['cybersecurity framework']
data aware,['data aware']
data guarding,['data guarding']
debonding,['debonding']
diagnostic radar imaging,['diagnostic radar imaging']
disruption-tolerant,['disruption-tolerant']
dual-polarization antenna,['dual-polarization antenna']
editor,['editor']
human power,['human power']
iatk,['iatk']
jammer suppression,['jammer suppression']
lmr p25,['lmr p25']
mls,['mls']
mmic (mm-wave integrate circuits),['mmic (mm-wave integrate circuits)']
off-hull communications,['off-hull communications']
personally identifiable information (pii),['personally identifiable information (pii)']
piloting,['piloting']
pipelined adc,['pipelined adc']
secondary propulsion,['secondary propulsion']
secure short-range communication,['secure short-range communication']
shock hardening and isolation,['shock hardening and isolation']
single crystal piezoelectrics,['single crystal piezoelectrics']
software defined networking.,['software defined networking.']
special operations forces (sof) operator,['special operations forces (sof) operator']
switching frequency,['switching frequency']
time-interleaving,['time-interleaving']
topology aware,['topology aware']
w/ku-band transceivers,['w/ku-band transceivers']
battlefield management,['battlefield management']
transmission accuracy,['transmission accuracy']
wireless mesh storage,['wireless mesh storage']
?heat spreader,?heat spreader
monolithic microwave integrated circuit (mmic),['monolithic microwave integrated circuit (mmic)']
phase shifters,['phase shifters']
radiating aperture,['radiating aperture']
target intercept,['target intercept']
wireless network,['wireless network']
bone,['bone']
chemical defense,['chemical defense']
environment assisted cracking,['environment assisted cracking']
eye,['eye']
failure indication,['failure indication']
field-ready,['field-ready']
immune responses,['immune responses']
iso shelter,['iso shelter']
markov models,['markov models']
mst,['mst']
nanocarbon,['nanocarbon']
nano-heaters,['nano-heaters']
neutralization,['neutralization']
nondestructive detection,['nondestructive detection']
open-globe,['open-globe']
orthopedic,['orthopedic']
passive venting,['passive venting']
peelable,['peelable']
peo aviation,['peo aviation']
protective clothing,['protective clothing']
smart components,['smart components']
soil,['soil']
textile treatment,['textile treatment']
tuning,['tuning']
ultrasonic additive manufacturing,['ultrasonic additive manufacturing']
virus like particles,['virus like particles']
wireless network discovery,['wireless network discovery']
excitable laser,['excitable laser']
mu-mimo,['mu-mimo']
squad,['squad']
waveform porting,['waveform porting']
amlcd,['amlcd']
aviation maintenance,['aviation maintenance']
bayesian deep learning,['bayesian deep learning']
electronic knee board (ekb),['electronic knee board (ekb)']
emat,['emat']
hypersonic tests,['hypersonic tests']
ine,['ine']
li-fi,['li-fi']
logical,['logical']
macro weather sensor,['macro weather sensor']
migration toolkit,['migration toolkit']
mission oriented,['mission oriented']
network initialization,['network initialization']
network reconnaissance,['network reconnaissance']
noncontact sensor,['noncontact sensor']
personal display,['personal display']
portable pulse generator,['portable pulse generator']
propellant grain cracks,['propellant grain cracks']
rain drop measurement,['rain drop measurement']
router,['router']
software refactoring,['software refactoring']
srw,['srw']
steel wall thickness measurement,['steel wall thickness measurement']
task coordination,['task coordination']
uas/uav/ugv,['uas/uav/ugv']
zeroize,['zeroize']
wireless network time synchronization,['wireless network time synchronization']
anti-jam antenna,['anti-jam antenna']
araim,['araim']
autonomous routing,['autonomous routing']
mgue,['mgue']
navassure,['navassure']
navguard,['navguard']
next generation manet,['next generation manet']
non-beam-forming,['non-beam-forming']
policy awareness,['policy awareness']
position navigation and timing (pnt),['position navigation and timing (pnt)']
saasm receiver  mgue receiver  space qualification  geo satellite application  high gain antenna  side-lobe tracking  security certification   swap,['saasm receiver  mgue receiver  space qualification  geo satellite application  high gain antenna  side-lobe tracking  security certification   swap']
secure time transfer,['secure time transfer']
weight and power (swap),['weight and power (swap)']
intra soldier wireless,['intra soldier wireless']
wireless personal area network (pan),['wireless personal area network (pan)']
driver analysis,['driver analysis']
fcs,['fcs']
low lpi/lpd,['low lpi/lpd']
v2 cds,['v2 cds']
xmpp,['xmpp']
absorbing,['absorbing']
wireless plant monitoring,['wireless plant monitoring']
apache,['apache']
armor sealant,['armor sealant']
battery health monitoring system,['battery health monitoring system']
biointerface,['biointerface']
coordinate measurement machine,['coordinate measurement machine']
cross-activity,['cross-activity']
deet,['deet']
electrochemical double-layer capacitor,['electrochemical double-layer capacitor']
fabric. shelters,['fabric. shelters']
fastener fill,['fastener fill']
fluid repellent,['fluid repellent']
force balance,['force balance']
glass,['glass']
high definition fiber optic sensor,['high definition fiber optic sensor']
laser repair,['laser repair']
laser surface melt,['laser surface melt']
metallic textiles,['metallic textiles']
modification,['modification']
multiple antigens,['multiple antigens']
non-chrome,['non-chrome']
optically clear,['optically clear']
rapid-cure,['rapid-cure']
red phosphorus,['red phosphorus']
rotary wing,['rotary wing']
self-healing optical,['self-healing optical']
silver-plated wire,['silver-plated wire']
skin flora,['skin flora']
twist,['twist']
ultrasonic spectral attenuation,['ultrasonic spectral attenuation']
channel,['channel']
high fidelity scene generation,['high fidelity scene generation']
high-vibration,['high-vibration']
modular converters,['modular converters']
power on dome,['power on dome']
steam flow meter,['steam flow meter']
direct measurement,['direct measurement']
wireless power transmission,['wireless power transmission']
missile warning systems (mws),['missile warning systems (mws)']
photovoltaic receiver,['photovoltaic receiver']
steam dryness fraction,['steam dryness fraction']
wireless propagation modeling for various terrains,['wireless propagation modeling for various terrains']
attack graphs,['attack graphs']
cognitive validity metrics,['cognitive validity metrics']
cyber opfor,['cyber opfor']
manet network planning,['manet network planning']
manet planning,['manet planning']
policy enforcement,['policy enforcement']
satellite network planning,['satellite network planning']
simple j,['simple j']
software-in-the-loop,['software-in-the-loop']
training architectures,['training architectures']
ttnt,['ttnt']
push-to-talk (ptt),['push-to-talk (ptt)']
wireless router (access point),['wireless router (access point)']
bandwidth and delay guaranteed,['bandwidth and delay guaranteed']
wireless routing,['wireless routing']
cylindrical manifold.,['cylindrical manifold.']
deep reinforcement learning.,['deep reinforcement learning.']
embedded satellite networks security.,['embedded satellite networks security.']
fpga.,['fpga.']
high-througput applications,['high-througput applications']
indoor and outdoor,['indoor and outdoor']
multipath effects,['multipath effects']
network sensor-based defense.,['network sensor-based defense.']
openwrt.,['openwrt.']
service-oriented-architecture.,['service-oriented-architecture.']
system agility and resilience,['system agility and resilience']
target based,['target based']
tdma,['tdma']
uav.,['uav.']
waveform adaptation.,['waveform adaptation.']
wireless sensor,['wireless sensor']
anonymization,['anonymization']
cloud-enabled,['cloud-enabled']
cybersecurity challenges,['cybersecurity challenges']
health and usage monitoring,['health and usage monitoring']
isis,['isis']
low array sidelobe levels,['low array sidelobe levels']
low power reliability,['low power reliability']
moored arrays,['moored arrays']
nsa security,['nsa security']
operational pressure test,['operational pressure test']
personnel management,['personnel management']
state filtering,['state filtering']
temporal access,['temporal access']
course of action planning,['course of action planning']
milsuite,['milsuite']
network infrastructure,['network infrastructure']
state dynamic modeling,['state dynamic modeling']
tactile output interfaces,['tactile output interfaces']
all dielectric,['all dielectric']
customizable security,['customizable security']
high reporting rate,['high reporting rate']
stall detection,['stall detection']
ultrasonic inspection,['ultrasonic inspection']
aluminum-seawater battery,['aluminum-seawater battery']
wireless sensor nodes,['wireless sensor nodes']
binary compression,['binary compression']
communications at speed and depth,['communications at speed and depth']
defense-in-depth,['defense-in-depth']
de-identification,['de-identification']
high array directivity,['high array directivity']
image processing.,['image processing.']
learning records store,['learning records store']
object classifiers,['object classifiers']
two-factor,['two-factor']
undersea sensors,['undersea sensors']
vendor-lock,['vendor-lock']
panoramic imaging,['panoramic imaging']
tele-medicine,['tele-medicine']
aircraft damage detection sensor,['aircraft damage detection sensor']
wireless shm/nde sensor system,['wireless shm/nde sensor system']
cracks miniature fiber optic sensor,['cracks miniature fiber optic sensor']
fiber grating sensors,['fiber grating sensors']
miniature fiber optic sensor,['miniature fiber optic sensor']
pads/cads,['pads/cads']
tactical aircraft.,['tactical aircraft.']
afdx,['afdx']
wireless signal transmission,['wireless signal transmission']
mission processing architecture,['mission processing architecture']
wireless storage,['wireless storage']
agile rf,['agile rf']
wireless system,['wireless system']
instantaneous bandwidth,['instantaneous bandwidth']
tunable microwave filter,['tunable microwave filter']
2d spiht,['2d spiht']
wireless transmission,['wireless transmission']
3d mapping,['3d mapping']
afw-webs,['afw-webs']
aircraft visually aided navigation,['aircraft visually aided navigation']
airflow,['airflow']
ambient energy,['ambient energy']
anomaly based detection,['anomaly based detection']
anti-drone,['anti-drone']
architectural modeling,['architectural modeling']
arinc 661,['arinc 661']
aspheric optics,['aspheric optics']
automatic diagnostics,['automatic diagnostics']
biometric identity,['biometric identity']
christiansen filter,['christiansen filter']
circular polarization,['circular polarization']
clip-on imager,['clip-on imager']
commercial-off-the-shelf amplifiers,['commercial-off-the-shelf amplifiers']
common access card,['common access card']
compton imaging tomography,['compton imaging tomography']
cost predictions,['cost predictions']
countermeasure dispenser system (cmds),['countermeasure dispenser system (cmds)']
data-fusion,['data-fusion']
dew point,['dew point']
diagnostic test,['diagnostic test']
digital exciter,['digital exciter']
directional beams,['directional beams']
dispersive phase compensation,['dispersive phase compensation']
d-shaped sensor,['d-shaped sensor']
electronics components,['electronics components']
electro-optic (eo),['electro-optic (eo)']
evolutionary computing,['evolutionary computing']
fiber manufacturing,['fiber manufacturing']
fiber optic sensor,['fiber optic sensor']
fog penetration,['fog penetration']
fragment characterization,['fragment characterization']
generate explanations,['generate explanations']
head-mounted displays,['head-mounted displays']
high-energy computed tomography,['high-energy computed tomography']
high-g shock,['high-g shock']
human body heat,['human body heat']
infrared camera,['infrared camera']
intra-operative manipulability,['intra-operative manipulability']
launderability,['launderability']
link range,['link range']
long-term assay,['long-term assay']
m16,['m16']
material property extraction,['material property extraction']
micro-display,['micro-display']
microencapsulated phase-change material,['microencapsulated phase-change material']
mobile ad-hoc networks,['mobile ad-hoc networks']
multiplexed diffractive optics,['multiplexed diffractive optics']
multiradio interface,['multiradio interface']
network perception,['network perception']
nonlethal,['nonlethal']
nonlinear distortion measurement,['nonlinear distortion measurement']
pads,['pads']
partial alcove,['partial alcove']
pest management,['pest management']
photodissociation,['photodissociation']
reflective,['reflective']
remarking,['remarking']
secure data,['secure data']
self-mixing interferometer,['self-mixing interferometer']
service life predictions,['service life predictions']
shock and vibration environments,['shock and vibration environments']
small displays,['small displays']
software testing verification,['software testing verification']
space accountability,['space accountability']
space technology,['space technology']
submarine attack center team trainers,['submarine attack center team trainers']
test measurement,['test measurement']
threat defeat,['threat defeat']
thumbdrive,['thumbdrive']
transmission filter,['transmission filter']
true-color imaging,['true-color imaging']
uhd,['uhd']
ultrastrong materials,['ultrastrong materials']
utility grid,['utility grid']
vapor cell,['vapor cell']
vehicular mount,['vehicular mount']
video transmission,['video transmission']
water splitting,['water splitting']
weight gain,['weight gain']
77 ghz radar,['77 ghz radar']
wireless underground sensor networks,['wireless underground sensor networks']
automated lookout,['automated lookout']
electronic detonator,['electronic detonator']
iridium satcom,['iridium satcom']
test event control,['test event control']
uav imaging,['uav imaging']
video interoperability,['video interoperability']
wireless uwb,['wireless uwb']
brdf (bidirectional reflectance distribution function),['brdf (bidirectional reflectance distribution function)']
crows,['crows']
engineered electromagnetic properties,['engineered electromagnetic properties']
entangleme,['entangleme']
eye injury,['eye injury']
high resolution displays,['high resolution displays']
high wall plug efficiency,['high wall plug efficiency']
iscl,['iscl']
laser-illumination,['laser-illumination']
laser modulation,['laser modulation']
light caliber,['light caliber']
mine countermeasure systems,['mine countermeasure systems']
model deformation measurement,['model deformation measurement']
modular design - fiber optics,['modular design - fiber optics']
optical beam stabilization,['optical beam stabilization']
pavement markings,['pavement markings']
pavement voids,['pavement voids']
photonic phased array,['photonic phased array']
plume simulator,['plume simulator']
shape memory material,['shape memory material']
supercontinuum,['supercontinuum']
surface object detection,['surface object detection']
tactical wearable night vision,['tactical wearable night vision']
tactic video,['tactic video']
transient pressure,['transient pressure']
turbo engine,['turbo engine']
air space and cyber domains,['air space and cyber domains']
antenna characterization,['antenna characterization']
avc h264,['avc h264']
axicons,['axicons']
cbrn threats,['cbrn threats']
cobalt oxide nanocubanes,['cobalt oxide nanocubanes']
commercial broadband satellite program (cbsp),['commercial broadband satellite program (cbsp)']
convolutional neural networks (cnn),['convolutional neural networks (cnn)']
datarate,['datarate']
defense-critical infrastructure,['defense-critical infrastructure']
direct-write hologram printer,['direct-write hologram printer']
efficiency enhancement,['efficiency enhancement']
fat storage,['fat storage']
flexible teg,['flexible teg']
fused gps,['fused gps']
harmonic distortion,['harmonic distortion']
high-altitude nuclear explosions,['high-altitude nuclear explosions']
high-gain radiators,['high-gain radiators']
intermediate ar,['intermediate ar']
marine-borne,['marine-borne']
mid-air collision,['mid-air collision']
missile testing,['missile testing']
non-directed ir communication,['non-directed ir communication']
obsolete,['obsolete']
piezoelectrics,['piezoelectrics']
plasma spectroscopy,['plasma spectroscopy']
production life cycle,['production life cycle']
propmod,['propmod']
radar cross section (rcs) pattern matching,['radar cross section (rcs) pattern matching']
remaining useful life estimation (rule),['remaining useful life estimation (rule)']
sensor adapter,['sensor adapter']
soldier-borne,['soldier-borne']
spo2,['spo2']
star backgrounds,['star backgrounds']
statistical inference,['statistical inference']
synapses,['synapses']
terminal airspace,['terminal airspace']
tomahawk missile,['tomahawk missile']
water intrusion,['water intrusion']
concrete infrastructure,['concrete infrastructure']
wire reinforcement,['wire reinforcement']
aluminum cnt composites,['aluminum cnt composites']
copper-cnt composite,['copper-cnt composite']
data conversion,['data conversion']
enhanced-ampacity,['enhanced-ampacity']
gradient optics,['gradient optics']
hybrid-copper,['hybrid-copper']
low-light imager,['low-light imager']
ranging tracking and fire control,['ranging tracking and fire control']
spad,['spad']
wire termination,['wire termination']
electrolaminates,['electrolaminates']
wiring,['wiring']
electro-laminates,['electro-laminates']
wiring failure,['wiring failure']
distributed temperature sensing.,['distributed temperature sensing.']
masw,['masw']
3dof orientation,['3dof orientation']
without forgetting,['without forgetting']
bio-inspired optics,['bio-inspired optics']
dropped track,['dropped track']
imaging polarimeters,['imaging polarimeters']
infrared polarimetry,['infrared polarimetry']
on demand polarimeter,['on demand polarimeter']
particle filter algorithm,['particle filter algorithm']
polarization projection,['polarization projection']
sift,['sift']
combating weapons of mass destruction,['combating weapons of mass destruction']
wmd,['wmd']
modes of defeat,['modes of defeat']
kinetic warheads,['kinetic warheads']
low ablation composites,['low ablation composites']
nanosize materials,['nanosize materials']
obscuration smoke,['obscuration smoke']
reactive shaped charge,['reactive shaped charge']
high-shear wet milling,['high-shear wet milling']
wms,['wms']
wnw,['wnw']
ducting. communications,['ducting. communications']
multi-hypothesis abductive reasoning,['multi-hypothesis abductive reasoning']
green technology,['green technology']
wood pellets,['wood pellets']
material systems,['material systems']
medium and heavy tactical vehicles,['medium and heavy tactical vehicles']
simulated annealing,['simulated annealing']
word2vec,['word2vec']
word embedding,['word embedding']
word embeddings.,['word embeddings.']
word error rates,['word error rates']
notice to mariners,['notice to mariners']
word frames,['word frames']
noise dosimeter,['noise dosimeter']
word gazetteers,['word gazetteers']
telephone,['telephone']
robotic system,['robotic system']
worker safety,['worker safety']
advanced queries,['advanced queries']
airborne weather radar,['airborne weather radar']
animatronic,['animatronic']
autonomous decision-making,['autonomous decision-making']
bio-inspired computing,['bio-inspired computing']
bot detection,['bot detection']
bring-your-own-device (byod) sensors,['bring-your-own-device (byod) sensors']
card-based design,['card-based design']
centralized knowledge store,['centralized knowledge store']
cloud services,['cloud services']
cognitive behaviors,['cognitive behaviors']
collective expertise,['collective expertise']
colregs compliance,['colregs compliance']
combat lifesavers (cls),['combat lifesavers (cls)']
command and control (c2),['command and control (c2)']
computer generated forces,['computer generated forces']
context awareness,['context awareness']
context aware support tools,['context aware support tools']
cyber attack defense,['cyber attack defense']
dcgs-a,['dcgs-a']
decision support system (dss),['decision support system (dss)']
decision support visualizations,['decision support visualizations']
displays,['displays']
dynamic social networks,['dynamic social networks']
endangered,['endangered']
expertise advancement,['expertise advancement']
explainable ai,['explainable ai']
generator reliability,['generator reliability']
gis contaminant model,['gis contaminant model']
graph grammars,['graph grammars']
graph inference,['graph inference']
heads-up displays,['heads-up displays']
human cognition,['human cognition']
information system,['information system']
landmark recognition,['landmark recognition']
market-based optimization (mbo),['market-based optimization (mbo)']
medical intervention,['medical intervention']
meta-models,['meta-models']
microgames,['microgames']
military intelligence,['military intelligence']
mishap awareness,['mishap awareness']
mixed-initiative scenario development,['mixed-initiative scenario development']
mule,['mule']
neural enhancement,['neural enhancement']
operator strain,['operator strain']
perceptual adaptation,['perceptual adaptation']
physical affordances,['physical affordances']
portable analytics,['portable analytics']
psychophysiology,['psychophysiology']
reference position sensor system,['reference position sensor system']
simulators,['simulators']
submarine image quality,['submarine image quality']
threat alerting,['threat alerting']
training performance assessment,['training performance assessment']
trauma training,['trauma training']
trust in autonomy,['trust in autonomy']
workflow and task analysis,['workflow and task analysis']
comfort,['comfort']
ground system,['ground system']
increased efficiency,['increased efficiency']
infra-red countermeasures,['infra-red countermeasures']
moldable,['moldable']
nutraceutical,['nutraceutical']
productivity of blasting nozzle,['productivity of blasting nozzle']
re-compression chambers,['re-compression chambers']
service life limiting factors for 5000-series aluminum,['service life limiting factors for 5000-series aluminum']
thermal rf,['thermal rf']
visualization ecology,['visualization ecology']
warning system,['warning system']
water treatment,['water treatment']
workflow centric,['workflow centric']
dicom image standard,['dicom image standard']
image complexity,['image complexity']
pilot workload,['pilot workload']
smart buildings,['smart buildings']
surrogate sensor agent (ssa),['surrogate sensor agent (ssa)']
workflow engine,['workflow engine']
bayesian fusion node,['bayesian fusion node']
workflow impact,['workflow impact']
augmented,['augmented']
engineering maintenance,['engineering maintenance']
eye movements,['eye movements']
human dimension,['human dimension']
metacognitive prompting,['metacognitive prompting']
pedagogy,['pedagogy']
simulation-based medical training,['simulation-based medical training']
video modeling training,['video modeling training']
automated data management,['automated data management']
data import,['data import']
iava compliance reporting,['iava compliance reporting']
imaging software,['imaging software']
real time health state analysis,['real time health state analysis']
sustainment decision aid,['sustainment decision aid']
threat targeting,['threat targeting']
advanced persistent threats,['advanced persistent threats']
bias mitigation,['bias mitigation']
bmd radar,['bmd radar']
compressed sensing,['compressed sensing']
distributed deep learning for collaborative sensing of threat signatures,['distributed deep learning for collaborative sensing of threat signatures']
leading indicators of hostility,['leading indicators of hostility']
multiobjective optimization,['multiobjective optimization']
off-nominal ballistic break-up,['off-nominal ballistic break-up']
pattern detection,['pattern detection']
robust position,['robust position']
space situational awareness space surveillance tracking catalog maintenance uncorrelated track (uct) processing non-traditional data sources sensor tasking and scheduling remote robotic telescope network,['space situational awareness space surveillance tracking catalog maintenance uncorrelated track (uct) processing non-traditional data sources sensor tasking and scheduling remote robotic telescope network']
surface tracking,['surface tracking']
amorphous coating,['amorphous coating']
annealing,['annealing']
cell apoptosis,['cell apoptosis']
cross-domain solutions,['cross-domain solutions']
emission lines,['emission lines']
enterprise integration,['enterprise integration']
exchangeables-pipeline,['exchangeables-pipeline']
flow-diagnostics,['flow-diagnostics']
fresh frozen plasma,['fresh frozen plasma']
glideline,['glideline']
high speed testing,['high speed testing']
low bandwidth,['low bandwidth']
metabolite,['metabolite']
mil6363,['mil6363']
motheyes,['motheyes']
multi-color,['multi-color']
optical constants,['optical constants']
pill,['pill']
platform information technology,['platform information technology']
saasm gps,['saasm gps']
situation awareness measurement,['situation awareness measurement']
smart cooling,['smart cooling']
socio-temporal analysis,['socio-temporal analysis']
spectral characterization,['spectral characterization']
target tracking and acquisition,['target tracking and acquisition']
theme extraction,['theme extraction']
third-generation sensor,['third-generation sensor']
work function,['work function']
representation,['representation']
small satellite electric propulsion,['small satellite electric propulsion']
work instructions,['work instructions']
toolchain composition,['toolchain composition']
worklets,['worklets']
analysts rely on cueing into the lvmi data from other senso,['analysts rely on cueing into the lvmi data from other senso']
content based image retrieval,['content based image retrieval']
landmark,['landmark']
object and target detection,['object and target detection']
aar,['aar']
advanced learning management,['advanced learning management']
aerospace medicine,['aerospace medicine']
air and space operations center,['air and space operations center']
air and space operations centers,['air and space operations centers']
ambulatory monitoring,['ambulatory monitoring']
and constructive,['and constructive']
antibiotic therapy,['antibiotic therapy']
augment reality,['augment reality']
authority to operate,['authority to operate']
aviation mishaps,['aviation mishaps']
bayesian networks (bns),['bayesian networks (bns)']
behavior change techniques,['behavior change techniques']
behavior classification,['behavior classification']
case library management,['case library management']
cogn,['cogn']
collaborative interfaces,['collaborative interfaces']
collection plans,['collection plans']
collective decision-making,['collective decision-making']
combat hunter,['combat hunter']
computer vision (cv),['computer vision (cv)']
context-based filtering,['context-based filtering']
context-based reasoning,['context-based reasoning']
context-driven intelligent systems,['context-driven intelligent systems']
counter-terrorism,['counter-terrorism']
data trends,['data trends']
design guidelines,['design guidelines']
distributed data analysis,['distributed data analysis']
document processing,['document processing']
dynamic group detection,['dynamic group detection']
ecommender engine technology,['ecommender engine technology']
feedback systems,['feedback systems']
functional profiling,['functional profiling']
geo-location tracking,['geo-location tracking']
geo-visualization,['geo-visualization']
graphical decision process,['graphical decision process']
human performance assessment,['human performance assessment']
human-quality reasoning,['human-quality reasoning']
implicit learning,['implicit learning']
infection management,['infection management']
information exploitation,['information exploitation']
investigation automation,['investigation automation']
knowledge tags,['knowledge tags']
large scale data processing,['large scale data processing']
launch slips,['launch slips']
layered fidelity framework,['layered fidelity framework']
learning management system,['learning management system']
marine aviation,['marine aviation']
measurement-driven training recommendations,['measurement-driven training recommendations']
military decision-making process,['military decision-making process']
military fitness initiatives,['military fitness initiatives']
mission essential competencies,['mission essential competencies']
multi-beam phased array antennas,['multi-beam phased array antennas']
musculoskeletal sensor,['musculoskeletal sensor']
naturalistic workflow support,['naturalistic workflow support']
navy corpsmen,['navy corpsmen']
network pattern learning,['network pattern learning']
next generation tasker (ngt),['next generation tasker (ngt)']
objective team-based assessment,['objective team-based assessment']
occupational health,['occupational health']
offline mobile application,['offline mobile application']
operator error estimation,['operator error estimation']
optimal path planning,['optimal path planning']
organizational design,['organizational design']
patient outcomes,['patient outcomes']
pedagogy models,['pedagogy models']
physical training programming,['physical training programming']
pomdp,['pomdp']
qualitative analysis,['qualitative analysis']
reflective learning,['reflective learning']
relational network inference,['relational network inference']
requirements extraction,['requirements extraction']
research &amp,['research &amp']
scenario authoring,['scenario authoring']
schedule optimization,['schedule optimization']
simulator cost-effectiveness,['simulator cost-effectiveness']
social context feature extraction,['social context feature extraction']
social group behavior,['social group behavior']
sstr,['sstr']
supervised machine learning,['supervised machine learning']
task support,['task support']
team process,['team process']
technology insertion,['technology insertion']
trainee performance modeling,['trainee performance modeling']
trainee safety,['trainee safety']
training effectiveness,['training effectiveness']
training scenario authoring,['training scenario authoring']
vertical take-off and landing,['vertical take-off and landing']
virtual worlds,['virtual worlds']
abstract network representations,['abstract network representations']
workload assessment,['workload assessment']
anylogic,['anylogic']
ar sensors,['ar sensors']
battle space visualization,['battle space visualization']
belief space control,['belief space control']
collaborative analysis,['collaborative analysis']
collaborative teaming,['collaborative teaming']
compressed sensing theory,['compressed sensing theory']
content creation,['content creation']
decision trees,['decision trees']
declarative to procedural (d2p),['declarative to procedural (d2p)']
distributed framework,['distributed framework']
game communities,['game communities']
high-fidelity tactical training,['high-fidelity tactical training']
human sensors,['human sensors']
linguistics,['linguistics']
low-cost interaction,['low-cost interaction']
lsods,['lsods']
meta-information visualization,['meta-information visualization']
moses,['moses']
noise modeling,['noise modeling']
predator-prey relationships,['predator-prey relationships']
rule-based knowledge,['rule-based knowledge']
ship detection,['ship detection']
smart fabrics,['smart fabrics']
tradeoff visualization,['tradeoff visualization']
unstructured information,['unstructured information']
big data technologies,['big data technologies']
workload-prioritization,['workload-prioritization']
business case,['business case']
connection protection,['connection protection']
distributed electronic attack,['distributed electronic attack']
judgment and decision making,['judgment and decision making']
knowledge inferencing,['knowledge inferencing']
ontology management,['ontology management']
quantum models of cognition and decision,['quantum models of cognition and decision']
scaleability,['scaleability']
threat entity classification,['threat entity classification']
workloads/workflows analysis,['workloads/workflows analysis']
